method,image_idx,ratio,n_topk,n_spatial,n_out
advanced,455,0.21006944444444445,121,0,122
advanced,456,0.2170138888888889,125,0,126
advanced,457,0.21006944444444445,121,0,122
advanced,458,0.2013888888888889,116,0,117
advanced,459,0.1857638888888889,107,0,108
advanced,460,0.2170138888888889,125,0,126
advanced,461,0.17708333333333334,102,0,103
advanced,462,0.2204861111111111,127,0,128
advanced,463,0.2222222222222222,128,0,129
advanced,464,0.1909722222222222,110,0,111
advanced,465,0.21006944444444445,121,0,122
advanced,466,0.2013888888888889,116,0,117
advanced,467,0.21354166666666666,123,0,124
advanced,468,0.1840277777777778,106,0,107
advanced,469,0.21006944444444445,121,0,122
advanced,470,0.1753472222222222,101,0,102
advanced,471,0.1684027777777778,97,0,98
advanced,472,0.2222222222222222,128,0,129
advanced,473,0.19791666666666666,114,0,115
advanced,474,0.2048611111111111,118,0,119
advanced,475,0.19618055555555555,113,0,114
advanced,476,0.21354166666666666,123,0,124
advanced,477,0.2152777777777778,124,0,125
advanced,478,0.1875,108,0,109
advanced,479,0.20833333333333334,120,0,121
advanced,480,0.15625,90,0,91
advanced,481,0.21875,126,0,127
advanced,482,0.1892361111111111,109,0,110
advanced,483,0.20833333333333334,120,0,121
advanced,484,0.19270833333333334,111,0,112
advanced,485,0.2048611111111111,118,0,119
advanced,486,0.20833333333333334,120,0,121
advanced,487,0.20833333333333334,120,0,121
advanced,488,0.2065972222222222,119,0,120
advanced,489,0.19270833333333334,111,0,112
advanced,490,0.1996527777777778,115,0,116
advanced,491,0.2065972222222222,119,0,120
advanced,492,0.203125,117,0,118
advanced,493,0.1753472222222222,101,0,102
advanced,494,0.19444444444444445,112,0,113
advanced,495,0.2170138888888889,125,0,126
advanced,496,0.1996527777777778,115,0,116
advanced,497,0.2204861111111111,127,0,128
advanced,498,0.2013888888888889,116,0,117
advanced,499,0.1909722222222222,110,0,111
